,algorithm,seed,mse,rmse,r2_score
0,tsfresh,456,167496.015625,409.2627708758763,0.9514339132414753
0,tsfresh,34,162943.90625,403.66310984532635,0.9527538137828961
0,tsfresh,1334,169292.59375,411.4518121846105,0.950912989495348
0,tsfresh,978,165145.046875,406.38042137263454,0.952115583623125
0,tsfresh,1919,162766.9375,403.44384677424443,0.9528051281794856
0,tsfresh,98,168268.21875,410.20509352030234,0.9512100106699165
0,tsfresh,2647,158388.65625,397.98072346534576,0.9540746252364959
0,tsfresh,12,154965.46875,393.65653652644966,0.9550671934508317
0,tsfresh,9,170930.515625,413.4374385865412,0.950438073115355
0,tsfresh,455,165036.453125,406.24678844884426,0.9521470734628037
0,tsfresh,23,159713.875,399.6421837093777,0.9536903776584277
0,tsfresh,44,167253.3125,408.9661507997942,0.9515042870542595
0,tsfresh,665,159104.796875,398.87942648750385,0.9538669775880939
0,tsfresh_base,123,172574.25,415.42057002512524,0.9499614574093541
0,tsfresh_base,234,174653.6875,417.91588567557466,0.9493585187021868
0,tsfresh_base,456,176823.546875,420.50392016603126,0.9487293619490736
0,tsfresh_base,34,188008.640625,433.5996317168639,0.9454862034821035
0,tsfresh_base,1334,153683.953125,392.0254495884164,0.9554387736838568
0,tsfresh_base,978,162022.296875,402.519933512615,0.9530210439560959
0,tsfresh_base,1919,184955.6875,430.0647480322004,0.9463714224436064
0,tsfresh_base,98,182745.453125,427.48737188950975,0.9470122925710067
0,tsfresh_base,2647,176401.390625,420.00165550268963,0.9488517680246906
0,tsfresh_base,12,162946.5,403.6663225982569,0.952753059642767
0,tsfresh_base,9,171847.015625,414.5443469943837,0.9501723238827227
0,tsfresh_base,455,196898.46875,443.73242922959776,0.9429085606731581
0,tsfresh_base,23,151404.921875,389.10785378221294,0.9560995844760712
0,tsfresh_base,44,165072.328125,406.29094024479554,0.9521366732118653
0,tsfresh_base,665,164924.234375,406.1086484858455,0.9521796092086335
0,featuretools,123,156092.046875,395.084860346483,0.9547405392737998
0,featuretools,234,168605.25,410.6156962416318,0.9511122904151131
0,featuretools,456,182337.5,427.00995304559353,0.9471305701941855
0,featuretools,34,181264.46875,425.7516514941545,0.9474416910004279
0,featuretools,1334,209117.046875,457.2931738775465,0.9393657337853841
0,featuretools,978,161817.375,402.26530424584223,0.9530804583571024
0,featuretools,1919,198000.8125,444.9728222037836,0.9425889399564812
0,featuretools,98,177724.234375,421.5735219092869,0.9484681972365907
0,featuretools,2647,163213.5,403.99690592874595,0.9526756396371869
0,featuretools,12,176957.1875,420.662795478754,0.9486906060084079
0,featuretools,9,168415.5,410.3845757335429,0.9511673047230255
0,featuretools,455,175734.171875,419.20659808142335,0.9490452335017517
0,featuretools,23,191901.6875,438.06584836072307,0.944357397016559
0,featuretools,44,180140.796875,424.4299669851317,0.9477675143458307
0,featuretools,665,156338.171875,395.39622137167675,0.9546691741154107
0,featuretools_selection,123,167820.4375,409.65892825617755,0.951339847299159
0,featuretools_selection,234,165089.34375,406.31187990261867,0.9521317350685857
0,featuretools_selection,456,166465.46875,408.0017999347552,0.9517327287489191
0,featuretools_selection,34,172348.828125,415.1491637050471,0.9500268268575757
0,featuretools_selection,1334,169743.421875,411.99929839139287,0.9507822686578474
0,featuretools_selection,978,165811.203125,407.1992179818129,0.9519224310630308
0,featuretools_selection,1919,171343.765625,413.93691019888524,0.9503182502793786
0,featuretools_selection,98,169338.84375,411.5080117689083,0.9508995695836815
0,featuretools_selection,2647,167418.953125,409.1686120965292,0.9514562616643333
0,featuretools_selection,12,168802.078125,410.8553007142539,0.9510552138681023
0,featuretools_selection,9,167915.46875,409.77490009760237,0.9513122889013899
0,featuretools_selection,455,166399.5625,407.9210248320133,0.9517518340965833
0,featuretools_selection,23,167800.5,409.63459326575435,0.9513456278134083
0,featuretools_selection,44,166112.125,407.5685525160154,0.9518351826565656
0,featuretools_selection,665,164877.015625,406.05050871166264,0.9521933013250203
0,featuretools_base,123,171921.328125,414.6339688508408,0.9501507761241309
0,featuretools_base,234,177158.734375,420.90228601778824,0.9486321673106035
0,featuretools_base,456,167891.765625,409.74597694791345,0.9513191648274325
0,featuretools_base,34,171233.46875,413.8036596624056,0.9503502200440014
0,featuretools_base,1334,167890.828125,409.7448329448463,0.9513194316199578
0,featuretools_base,978,191227.78125,437.2959881476161,0.9445528030581025
0,featuretools_base,1919,172335.859375,415.13354402529313,0.9500305826066581
0,featuretools_base,98,165978.578125,407.40468593893223,0.9518739000186464
0,featuretools_base,2647,238490.984375,488.3553873717377,0.93084865837153
0,featuretools_base,12,270279.65625,519.8842719779086,0.9216314275376232
0,featuretools_base,9,171302.125,413.8866088676946,0.9503303248650158
0,featuretools_base,455,160152.59375,400.190696730946,0.9535631599493732
0,featuretools_base,23,172791.15625,415.6815563024176,0.9498985748779586
0,featuretools_base,44,154327.1875,392.8449916951978,0.9552522634627661
0,featuretools_base,665,159671.96875,399.5897505567429,0.9537025226910975
0,featuretools_base_selection,123,167820.4375,409.65892825617755,0.951339847299159
0,featuretools_base_selection,234,165089.34375,406.31187990261867,0.9521317350685857
0,featuretools_base_selection,456,166465.46875,408.0017999347552,0.9517327287489191
0,featuretools_base_selection,34,172348.828125,415.1491637050471,0.9500268268575757
0,featuretools_base_selection,1334,169743.421875,411.99929839139287,0.9507822686578474
0,featuretools_base_selection,978,165811.203125,407.1992179818129,0.9519224310630308
0,featuretools_base_selection,1919,171343.765625,413.93691019888524,0.9503182502793786
